dataset,flakyTrain,nonFlakyTrain,flakyTest,nonFlakyTest,k,sigma,precision,recall,storage,preparationTime,predictionTime
achilles,54.0,6.0,13.0,2.0,3,0.5,1.0,1.0,287933,0.2131219833333332,0.0036473879999999992
alluxio-tachyon,3.0,2189.0,1.0,548.0,3,0.5,1.0,0.6666666666666666,19285911,6.0749599542101445,0.0028886195976743
ambari,3.0,6.0,1.0,2.0,3,0.5,0.86,0.7666666666666667,26765,0.028407740000000015,0.003336587777777774
hadoop,244.0,2387.0,61.0,597.0,3,0.5,0.8895424000709516,0.7409836065573769,23667879,8.40688868138137,0.003323286000940164
jackrabbit-oak,6.0,7372.0,2.0,1843.0,3,0.5,0.02564102564102564,0.016666666666666666,74854103,19.62140920512053,0.002879879836429703
jimfs,6.0,358.0,1.0,90.0,3,0.5,0.6726190476190476,0.9,2477255,0.8630121733333314,0.002449073479853478
ninja,14.0,750.0,4.0,187.0,3,0.5,0.8261111111111111,0.7,5825735,1.8048940299999985,0.0024451762827225093
okhttp,53.0,1185.0,13.0,297.0,3,0.5,0.8756763606763606,0.6564102564102565,10111771,3.1531997509043994,0.002637813093856807
oozie,685.0,251.0,171.0,63.0,3,0.5,0.9972889964086453,0.9976608187134502,7343155,3.10832578333333,0.0034114048433048372
oryx,10.0,298.0,3.0,74.0,3,0.5,0.7135802469135802,0.43333333333333335,2037655,0.9560167633333317,0.003186769350649332
spring-boot,11.0,5445.0,3.0,1362.0,3,0.5,1.0,0.7,53504159,14.84902962411132,0.002915374807732853
togglz,9.0,309.0,2.0,78.0,3,0.5,0.04938271604938271,0.03333333333333333,2119187,1.0755451272194285,0.00346172886809044
wro4j,8.0,802.0,2.0,201.0,3,0.5,0.0,0.0,6228159,2.2973795673543917,0.0029264822954627612
achilles,54.0,6.0,13.0,2.0,3,0.95,1.0,1.0,287933,0.011695306666667689,0.0002972864444445614
alluxio-tachyon,3.0,2189.0,1.0,548.0,3,0.95,-,0.0,19285911,0.34315540395962313,0.0002714151051130077
ambari,3.0,6.0,1.0,2.0,3,0.95,-,0.0,26765,0.0033293166666624073,0.0004916966666662068
hadoop,244.0,2387.0,61.0,597.0,3,0.95,0.966801300695867,0.5699453551912569,23667879,0.40057170362521544,0.00027813698030615755
jackrabbit-oak,6.0,7372.0,2.0,1843.0,3,0.95,0.0,0.0,74854103,0.8724384456124228,0.00034133636552172587
jimfs,6.0,358.0,1.0,90.0,3,0.95,1.0,0.6666666666666666,2477255,0.05127561000001037,0.00022140227106232349
ninja,14.0,750.0,4.0,187.0,3,0.95,0.7351190476190476,0.3416666666666667,5825735,0.09888936666667211,0.0002158231239092617
okhttp,53.0,1185.0,13.0,297.0,3,0.95,1.0,0.2666666666666667,10111771,0.17098138204135488,0.0002323514987913658
oozie,685.0,251.0,171.0,63.0,3,0.95,0.9998050682261208,0.9937621832358673,7343155,0.1599518366666738,0.00026073672364673506
oryx,10.0,298.0,3.0,74.0,3,0.95,1.0,0.05555555555555555,2037655,0.04162743666667646,0.00021804073593077806
spring-boot,11.0,5445.0,3.0,1362.0,3,0.95,1.0,0.4,53504159,0.5814717163768676,0.00029560926516956177
togglz,9.0,309.0,2.0,78.0,3,0.95,0.0,0.0,2119187,0.0420870949916179,0.00021056764593798948
wro4j,8.0,802.0,2.0,201.0,3,0.95,0.0,0.0,6228159,0.09614112139849161,0.00020780774352141532
achilles,54.0,6.0,13.0,2.0,7,0.5,0.9904761904761904,1.0,287933,0.011814079999980246,0.0003635779999997466
alluxio-tachyon,3.0,2189.0,1.0,548.0,7,0.5,1.0,0.43333333333333335,19285911,0.31451037106164015,0.00034113610614147817
ambari,3.0,6.0,1.0,2.0,7,0.5,1.0,0.5,26765,0.003990114999994413,0.0006340872222217009
hadoop,244.0,2387.0,61.0,597.0,7,0.5,0.9004539712048006,0.7027322404371585,23667879,0.3876350347268824,0.00035101843253262536
jackrabbit-oak,6.0,7372.0,2.0,1843.0,7,0.5,0.047619047619047616,0.016666666666666666,74854103,0.8791047872460184,0.00043976101323612654
jimfs,6.0,358.0,1.0,90.0,7,0.5,0.7777777777777778,0.8666666666666667,2477255,0.04893861666667285,0.0002805371794871748
ninja,14.0,750.0,4.0,187.0,7,0.5,0.8655172413793104,0.55,5825735,0.09856697666667169,0.00028311671902270203
okhttp,53.0,1185.0,13.0,297.0,7,0.5,0.9257671957671957,0.49743589743589745,10111771,0.1823902373901943,0.00030971119121447243
oozie,685.0,251.0,171.0,63.0,7,0.5,0.997680006613897,0.9988304093567251,7343155,0.16233584000000112,0.00033209685185186155
oryx,10.0,298.0,3.0,74.0,7,0.5,0.5490196078431372,0.15555555555555553,2037655,0.0398849800000022,0.0002766736796536506
spring-boot,11.0,5445.0,3.0,1362.0,7,0.5,1.0,0.5222222222222221,53504159,0.5777052795513808,0.0003761426792053336
togglz,9.0,309.0,2.0,78.0,7,0.5,0.0,0.0,2119187,0.043093610653262455,0.00028478561683417507
wro4j,8.0,802.0,2.0,201.0,7,0.5,0.0,0.0,6228159,0.09208858668311828,0.00026831602619151597
achilles,54.0,6.0,13.0,2.0,7,0.95,1.0,1.0,287933,0.010626836666655965,0.00033321933333329266
alluxio-tachyon,3.0,2189.0,1.0,548.0,7,0.95,-,0.0,19285911,0.29803244068101925,0.0003238204116314226
ambari,3.0,6.0,1.0,2.0,7,0.95,-,0.0,26765,0.0032508516666619395,0.0005524672222217456
hadoop,244.0,2387.0,61.0,597.0,7,0.95,0.9582628384844922,0.36830601092896187,23667879,0.3925373830363689,0.0003453328930551373
jackrabbit-oak,6.0,7372.0,2.0,1843.0,7,0.95,0.0,0.0,74854103,0.8161321995167898,0.00042365329023480436
jimfs,6.0,358.0,1.0,90.0,7,0.95,1.0,0.6,2477255,0.05043272333333374,0.0002913380586080629
ninja,14.0,750.0,4.0,187.0,7,0.95,-,0.0,5825735,0.09959817666665367,0.00029417574171027884
okhttp,53.0,1185.0,13.0,297.0,7,0.95,1.0,0.2205128205128206,10111771,0.17975220260983138,0.0003141351636242533
oozie,685.0,251.0,171.0,63.0,7,0.95,1.0,0.98401559454191,7343155,0.15528580666667532,0.0003222209401709596
oryx,10.0,298.0,3.0,74.0,7,0.95,1.0,0.01111111111111111,2037655,0.040472499999991855,0.00034061389610392286
spring-boot,11.0,5445.0,3.0,1362.0,7,0.95,-,0.0,53504159,1.5232053735204922,0.0008942296311205149
togglz,9.0,309.0,2.0,78.0,7,0.95,0.0,0.0,2119187,0.09223706273031672,0.0006064127158710403
wro4j,8.0,802.0,2.0,201.0,7,0.95,0.0,0.0,6228159,0.2398909766567981,0.0006368505583409195
